acc_id,obs_id,title,species_accepted,genus_accepted,family_accepted,order_accepted,class_accepted,pld_av_comp_effectsize_d,pld_av_comp_effect_sd,pld_av_mort_effectsize_d,pld_av_mort_effect_sd,spawn_mode,biogeog_realm,latmin,latmax,lonmin,lonmax,growth_form,growth_form_cat
A_0731,A_0731,"Laboratory observations of larval behavior and metamorphosis in the mediterranean solitary coral Balanophyllia europaea (Scleractinia, Dendrophylliidae)",Balanophyllia europaea,Balanophyllia,Dendrophylliidae,Scleractinia,Hexacorallia,6.9,0.8,NA,NA,brooding,Temperate Northern Atlantic,43.47333,43.47333,10.33333,10.33333,massive,domed
A_0268,A_0268_01,Larval dispersal patterns and connectivity of Acropora on Florida's Coral Reef and its implications for restoration,Acropora cervicornis,Acropora,Acroporidae,Scleractinia,Hexacorallia,22.56,1.187176922,NA,NA,broadcasting,Tropical Atlantic,24.338,27.215,-83.107,-79.868,branching_open,branching
A_3171,A_3171,Early life stages of a Mediterranean coral are vulnerable to ocean warming and acidification,Astroides calycularis,Astroides,Dendrophylliidae,Scleractinia,Hexacorallia,25.92857,5.013455,NA,NA,brooding,Temperate Northern Atlantic,40.692,40.692,13.893,13.893,domed,domed
A_1224,A_1224_02,Embryo and larval biology of the deep-sea octocoral Dentomuricea aff. meteor under different temperature regimes,Dentomuricea meteor,Dentomuricea,Acanthogorgiidae,Malacalcyonacea,Octocorallia,28.38462,0.7707677,17.27566,0.6099351,broadcasting,Temperate Northern Atlantic,38.4,38.63,-29.26,-28.85,erect branched,erect branched
A_1224,A_1224_01,Embryo and larval biology of the deep-sea octocoral Dentomuricea aff. meteor under different temperature regimes,Dentomuricea meteor,Dentomuricea,Acanthogorgiidae,Malacalcyonacea,Octocorallia,28.69748,0.6698754,13.97167,0.6587783,broadcasting,Temperate Northern Atlantic,38.4,38.63,-29.26,-28.85,erect branched,erect branched
A_3306,A_3306_02,Survive or swim: different relationships between migration potential and larval size in three sympatric Mediterranean octocorals,Paramuricea clavata,Paramuricea,Acanthogorgiidae,Malacalcyonacea,Octocorallia,28.8659,0.6444763,36.02064,0.4158322,brooding,Temperate Northern Atlantic,42.107,42.592,3.038,3.543,erect branched,erect branched
A_0469,A_0469,Larval behavior and settlement dynamics of a ubiquitous Caribbean octocoral and its implications for dispersal,Antillogorgia americana,Antillogorgia,Gorgoniidae,Malacalcyonacea,Octocorallia,35.58109,0.382544,NA,NA,brooding,Tropical Atlantic,24.77833,24.77833,-80.73583,-80.73583,erect branched,erect branched
A_3306,A_3306_01,Survive or swim: different relationships between migration potential and larval size in three sympatric Mediterranean octocorals,Eunicella singularis,Eunicella,Eunicellidae,Malacalcyonacea,Octocorallia,46.59864,1.461094,32.02724,0.2251148,brooding,Temperate Northern Atlantic,42.107,42.592,3.038,3.543,erect branched,erect branched
A_0693,A_0693_01,Increased local retention of reef coral larvae as a result of ocean warming,Cyphastrea japonica,Cyphastrea,Merulinidae,Scleractinia,Hexacorallia,3.1413,0.0689,10.05765,1.041412,broadcasting,Central Indo-Pacific,26.6,26.7,127.8,127.9,submassive,domed
A_0693,A_0693_02,Increased local retention of reef coral larvae as a result of ocean warming,Favites stylifera,Favites,Merulinidae,Scleractinia,Hexacorallia,4.6904,0.1556,NA,NA,broadcasting,Central Indo-Pacific,26.6,26.7,127.8,127.9,submassive,domed
A_0693,A_0693_03,Increased local retention of reef coral larvae as a result of ocean warming,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,5.685,0.0842,NA,NA,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,corymbose,branching
A_0062,A_0062_01,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora austera,Acropora,Acroporidae,Scleractinia,Hexacorallia,17.41987,0.4234889,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,branching_open,branching
A_0062,A_0062_02,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora glauca,Acropora,Acroporidae,Scleractinia,Hexacorallia,17.98148,0.3358939,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,tables_or_plates,plating
A_0062,A_0062_03,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora hyacinthus,Acropora,Acroporidae,Scleractinia,Hexacorallia,28.11111,0.6336274,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,tables_or_plates,plating
A_0062,A_0062_04,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora intermedia,Acropora,Acroporidae,Scleractinia,Hexacorallia,11.57618,0.2316214,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,branching_open,branching
A_0062,A_0062_05,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora longicyathus,Acropora,Acroporidae,Scleractinia,Hexacorallia,12.03838,0.2373137,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,hispidose,branching
A_0062,A_0062_06,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora loripes,Acropora,Acroporidae,Scleractinia,Hexacorallia,11.68468,0.2062933,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,corymbose,branching
A_0062,A_0062_07,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora microphthalma,Acropora,Acroporidae,Scleractinia,Hexacorallia,26.79518,0.3851333,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,branching_open,branching
A_0062,A_0062_08,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,13.36765,0.23517,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,corymbose,branching
A_0062,A_0062_09,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora muricata,Acropora,Acroporidae,Scleractinia,Hexacorallia,31.57534,0.4589771,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,branching_open,branching
A_0062,A_0062_10,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Acropora kenti,Acropora,Acroporidae,Scleractinia,Hexacorallia,14.48649,0.4523118,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,branching,branching
A_0062,A_0062_11,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Montipora aequituberculata,Montipora,Acroporidae,Scleractinia,Hexacorallia,13.54514,0.320405,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,laminar,plating
A_0062,A_0062_12,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Montipora digitata,Montipora,Acroporidae,Scleractinia,Hexacorallia,19.14286,0.6989518,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,branching_open,branching
A_0062,A_0062_13,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Diploastrea heliopora,Diploastrea,Diploastraeidae,Scleractinia,Hexacorallia,14.57411,0.382936,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_14,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Galaxea fascicularis,Galaxea,Euphylliidae,Scleractinia,Hexacorallia,17.58023,0.3697425,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_15,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Lobophyllia corymbosa,Lobophyllia,Lobophylliidae,Scleractinia,Hexacorallia,13.27027,1.103263,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_16,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Lobophyllia hemprichii,Lobophyllia,Lobophylliidae,Scleractinia,Hexacorallia,10.55556,0.4548679,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_17,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Dipsastraea matthaii,Dipsastraea,Merulinidae,Scleractinia,Hexacorallia,18.82656,0.6511975,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_18,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Dipsastraea pallida,Dipsastraea,Merulinidae,Scleractinia,Hexacorallia,14.70213,0.628523,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_19,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Goniastrea retiformis,Goniastrea,Merulinidae,Scleractinia,Hexacorallia,7.558061,0.1351981,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_20,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Mycedium elephantotus,Mycedium,Merulinidae,Scleractinia,Hexacorallia,17.08212,0.6006756,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,laminar,plating
A_0062,A_0062_21,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Oulophyllia crispa,Oulophyllia,Merulinidae,Scleractinia,Hexacorallia,19.00916,0.5555371,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_22,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Platygyra daedalea,Platygyra,Merulinidae,Scleractinia,Hexacorallia,11.67714,0.2355101,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_23,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Porites cylindrica,Porites,Poritidae,Scleractinia,Hexacorallia,15.06948,0.2860713,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,encrusting_long_uprights,branching
A_0062,A_0062_24,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Porites lobata,Porites,Poritidae,Scleractinia,Hexacorallia,13.63611,0.2709823,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,massive,domed
A_0062,A_0062_25,Larval precompetency and settlement behaviour in 25 Indo-Pacific coral species,Pachyseris speciosa,Pachyseris,Pachyseridae,Scleractinia,Hexacorallia,4.588235,0.07022882,NA,NA,broadcasting,Central Indo-Pacific,-23.17833,-18.73444,146.57972,150.94806,laminar,plating
A_1389,A_1389,"Opportunistic observations of reproductive mode, larval settlement and development of a New Zealand deep-sea stony coral, Goniocorella dumosa",Goniocorella dumosa,Goniocorella,Caryophylliidae,Scleractinia,Hexacorallia,2.857143,0.8571429,NA,NA,brooding,Temperate Australasia,-43.37,-43.37,179.4515,179.4515,branching,branching
A_2457,A_2457,A glimmer of hope for an Endangered temperate soft coral: the first observations of reproductive strategies and early life cycle of Dendronephthya australis (Octocorallia: Malacalcyonacea),Dendronephthya australis,Dendronephthya,Nephtheidae,Malacalcyonacea,Octocorallia,25.314,0.5175298,NA,NA,broadcasting,Temperate Australasia,-32.833,-32.583,152,152.25,erect branched,erect branched
A_0050,A_0050,Global warming decreases connectivity among coral populations,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,7.12,0.2244898,66.49047,4.030865,broadcasting,Central Indo-Pacific,-24.919,-19.459,148.58,152.773,corymbose,branching
A_3212,A_3212,Early development of the threatened coral Acropora cervicornis.xlsx,Acropora cervicornis,Acropora,Acroporidae,Scleractinia,Hexacorallia,9.22604,0.02994615,NA,NA,broadcasting,Tropical Atlantic,10.1713,10.17667,-75.77194,-75.76234,branching_open,branching
A_0966,A_0966_01,Depth-dependent parental effects create invisible barriers to coral dispersal,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,2.11646,0.1382611,NA,NA,brooding,Western Indo-Pacific,29.50236,29.50236,34.91881,34.91881,branching_closed,branching
A_0966,A_0966_02,Depth-dependent parental effects create invisible barriers to coral dispersal,Stylophora kuehlmanni,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,2.777273,0.2870274,NA,NA,brooding,Western Indo-Pacific,29.50236,29.50236,34.91881,34.91881,branching_closed,branching
A_0966,A_0966_03,Depth-dependent parental effects create invisible barriers to coral dispersal,Rhytisma fulvum,Rhytisma,Lemnaliidae,Malacalcyonacea,Octocorallia,2,0.1929311,NA,NA,brooding,Western Indo-Pacific,29.50236,29.50236,34.91881,34.91881,horizontal unbranched,horizontal unbranched
A_0966,A_0966_04,Depth-dependent parental effects create invisible barriers to coral dispersal,Rhytisma fulvum,Rhytisma,Lemnaliidae,Malacalcyonacea,Octocorallia,2.992857,0.242142,NA,NA,brooding,Western Indo-Pacific,29.50236,29.50236,34.91881,34.91881,horizontal unbranched,horizontal unbranched
A_1217,A_1217_01,"Observations of synchronized spawning, larval survival and settlement in corals of the genus Acropora in Lakshadweep, India",Acropora muricata,Acropora,Acroporidae,Scleractinia,Hexacorallia,14.94737,0.4681286,NA,NA,broadcasting,Western Indo-Pacific,10.573,10.573,72.63,72.63,branching_open,branching
A_1217,A_1217_02,"Observations of synchronized spawning, larval survival and settlement in corals of the genus Acropora in Lakshadweep, India",Acropora cytherea,Acropora,Acroporidae,Scleractinia,Hexacorallia,16.81818,0.3872221,NA,NA,broadcasting,Western Indo-Pacific,10.573,10.573,72.63,72.63,tables_or_plates,plating
A_2162,A_2162_01,Photo-movement of coral larvae influences vertical positioning in the ocean,Pocillopora verrucosa,Pocillopora,Pocilloporidae,Scleractinia,Hexacorallia,NA,NA,19.86478,0.5237192,broadcasting,Central Indo-Pacific,22.626,22.686,121.459,121.516,branching_closed,branching
A_2741,A_2741,Parental bleaching susceptibility leads to differences in larval fluorescence and dispersal potential in Pocillopora acuta corals,Pocillopora acuta,Pocillopora,Pocilloporidae,Scleractinia,Hexacorallia,NA,NA,4.270588,0.5953631,brooding,Eastern Indo-Pacific,-17.488,-17.488,-149.884,-149.884,branching_closed,branching
A_0695,A_0695_01,Larval longevity and competency patterns of Caribbean reef-building corals,Acropora cervicornis,Acropora,Acroporidae,Scleractinia,Hexacorallia,14.45680719,1.498118501,12.7,2.641759,broadcasting,Tropical Atlantic,NA,NA,NA,NA,branching_open,branching
A_0695,A_0695_02,Larval longevity and competency patterns of Caribbean reef-building corals,Acropora palmata,Acropora,Acroporidae,Scleractinia,Hexacorallia,13.01668378,1.909316447,21.96154,2.623844,broadcasting,Tropical Atlantic,25.01,25.143,-80.258,-80.375,branching_open,branching
A_0695,A_0695_03,Larval longevity and competency patterns of Caribbean reef-building corals,Orbicella faveolata,Orbicella,Merulinidae,Scleractinia,Hexacorallia,14.98715596,2.743073292,9.9,0.792711,broadcasting,Tropical Atlantic,25.018,25.14,-80.294,-80.368,massive,domed
A_2747,A_2747_01,Settlement dynamics and recruitment responses of Mediterranean gorgonians larvae to different crustose coralline algae species,Eunicella singularis,Eunicella,Eunicellidae,Malacalcyonacea,Octocorallia,35.10074,0.5681321,NA,NA,brooding,Temperate Northern Atlantic,42.427,42.492,3.123,3.283,erect branched,erect branched
A_2747,A_2747_02,Settlement dynamics and recruitment responses of Mediterranean gorgonians larvae to different crustose coralline algae species,Paramuricea clavata,Paramuricea,Acanthogorgiidae,Malacalcyonacea,Octocorallia,29.89384,0.2165657,NA,NA,brooding,Temperate Northern Atlantic,42.427,42.492,3.123,3.283,erect branched,erect branched
A_2747,A_2747_03,Settlement dynamics and recruitment responses of Mediterranean gorgonians larvae to different crustose coralline algae species,Corallium rubrum,Corallium,Coralliidae,Scleralcyonacea,Octocorallia,50.90943,0.3122222,NA,NA,brooding,Temperate Northern Atlantic,42.427,42.492,3.123,3.283,erect branched,erect branched
A_3327,A_3327,"Life-history traits of Tubastraea coccinea: Reproduction, development, and larval competence",Tubastraea coccinea,Tubastraea,Dendrophylliidae,Scleractinia,Hexacorallia,12.98113,0.8783011,NA,NA,brooding,Temperate South America,-23.7722222,-23.7722222,-45.3555556,-45.3555556,domed,domed
A_0302,A_0302,High-frequency sampling and piecewise models reshape dispersal kernels of a common reef coral,Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,52.984,0.8567803,2.5,0.07861635,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,corymbose,branching
A_1346,A_1346_01,Temperature-driven secondary competence windows may increase the dispersal potential of invasive sun corals,Tubastraea tagusensis,Tubastraea,Dendrophylliidae,Scleractinia,Hexacorallia,15.34,1.01,17.78,1.66,brooding,Temperate South America,-23.799,-23.799,-45.157,-45.157,domed,domed
A_1346,A_1346_02,Temperature-driven secondary competence windows may increase the dispersal potential of invasive sun corals,Tubastraea tagusensis,Tubastraea,Dendrophylliidae,Scleractinia,Hexacorallia,17,0.99,12.16,1.12,brooding,Temperate South America,-23.799,-23.799,-45.157,-45.157,domed,domed
A_2456,A_2456,Molecular characterization of larval development from fertilization to metamorphosis in a reef-building coral,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,8.727475,0.1240869,NA,NA,broadcasting,Central Indo-Pacific,-18.725,-13.607,143.563,146.542,corymbose,branching
A_0039,A_0039_01,Modeled differences of coral life-history traits influence the refugium potential of a remote Caribbean reef,Orbicella franksi,Orbicella,Merulinidae,Scleractinia,Hexacorallia,93.01274038,2.984537761,NA,NA,broadcasting,Tropical Atlantic,18,30.7,-97.7,-78.9,massive,domed
A_0039,A_0039_02,Modeled differences of coral life-history traits influence the refugium potential of a remote Caribbean reef,Pseudodiploria strigosa,Pseudodiploria,Faviidae,Scleractinia,Hexacorallia,4.824324324,0.238338948,NA,NA,broadcasting,Tropical Atlantic,18,30.7,-97.7,-78.9,massive,domed
A_1356,A_1356,Uncoupling temperature-dependent mortality from lipid depletion for scleractinian coral larvae,Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,33.6,0.69,broadcasting,Central Indo-Pacific,-18.61,-18.61,146.48,146.48,corymbose,branching
A_1049,A_1049,Groups travel further: pelagic metamorphosis and polyp clustering allow higher dispersal potential in sun coral propagules,Tubastraea coccinea,Tubastraea,Dendrophylliidae,Scleractinia,Hexacorallia,NA,NA,35.21,4.0684,brooding,Temperate South America,-23.80306,-23.80306,-45.13917,-45.13917,domed,domed
A_0030,A_0030_01,Rapid declines in metabolism explain extended coral larval longevity,Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,17.66,1.516144649,NA,NA,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,corymbose,branching
A_0030,A_0030_02,Rapid declines in metabolism explain extended coral larval longevity,Acropora nasuta,Acropora,Acroporidae,Scleractinia,Hexacorallia,11.41,0.420366424,NA,NA,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,corymbose,branching
A_0030,A_0030_03,Rapid declines in metabolism explain extended coral larval longevity,Acropora spathulata,Acropora,Acroporidae,Scleractinia,Hexacorallia,10.04,0.408702468,6.362,0.267,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,corymbose,branching
A_0030,A_0030_04,Rapid declines in metabolism explain extended coral larval longevity,Coelastrea aspera,Coelastrea,Merulinidae,Scleractinia,Hexacorallia,22.29,0.89308345,NA,NA,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,massive,domed
A_0311,A_0311_02,Vertical connectivity in mesophotic coral ecosystems,Porites astreoides,Porites,Poritidae,Scleractinia,Hexacorallia,NA,NA,5.893333,0.2456142,brooding,Tropical Atlantic,18.17,18.36,-65.1,-64.81,massive,domed
A_0909,A_0909_01,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Acropora gemmifera,Acropora,Acroporidae,Scleractinia,Hexacorallia,4.43,0.098480078,5.464481,0.196890583,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,digitate,branching
A_0909,A_0909_02,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Acropora humilis,Acropora,Acroporidae,Scleractinia,Hexacorallia,4.71,0.569968,7.251632,0.642427,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,digitate,branching
A_0909,A_0909_03,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,6.4,0.150431,18.51852,1.431147,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,corymbose,branching
A_0909,A_0909_04,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Acropora valida,Acropora,Acroporidae,Scleractinia,Hexacorallia,3.07,0.502216,8.264463,0.778489,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,corymbose,branching
A_0909,A_0909_05,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Goniastrea retiformis,Goniastrea,Merulinidae,Scleractinia,Hexacorallia,3.85,0.251793,31.94888,4.550315,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,massive,domed
A_0909,A_0909_06,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Platygyra daedalea,Platygyra,Merulinidae,Scleractinia,Hexacorallia,5.33,0.116912,39.21569,5.454484,broadcasting,Central Indo-Pacific,-18.68,-18.56,146.48,146.52,massive,domed
A_0909,A_0909_07,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Seriatopora hystrix,Seriatopora,Pocilloporidae,Scleractinia,Hexacorallia,0.69,0.113257,2.624672,3.622058,brooding,aquarium_culture,NA,NA,NA,NA,branching_closed,branching
A_0909,A_0909_08,Synthesizing larval competence dynamics and reef-scale retention reveals a high potential for self-recruitment in corals,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,0.58,0.063032,2.604167,1.471468,brooding,aquarium_culture,NA,NA,NA,NA,branching_closed,branching
A_1596,A_1596_01,Temperature affects the early life history stages of corals more than near future ocean acidification,Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,5.62142,0.755633,broadcasting,Central Indo-Pacific,-19.15,-19.15,146.833,146.833,corymbose,branching
A_2324,A_2324_01,Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,Platygyra daedalea,Platygyra,Merulinidae,Scleractinia,Hexacorallia,NA,NA,13,0.5803571,broadcasting,Central Indo-Pacific,-23.43,-23.43,151.95,151.95,massive,domed
A_2324,A_2324_02,Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,11,1.322279,broadcasting,Central Indo-Pacific,-23.43,-23.43,151.95,151.95,corymbose,branching
A_3740,A_3740_01,"Toxicity of Deepwater Horizon Source Oil and the Chemical Dispersant, Corexit® 9500, to Coral Larvae",Porites astreoides,Porites,Poritidae,Scleractinia,Hexacorallia,1.404786,0.8619496,NA,NA,brooding,Tropical Atlantic,24.56,24.56,-81.5,-81.5,massive,domed
A_1190,A_1190_01,Vertical distribution and settlement competencies in broadcast spawning coral larvae: Implications for dispersal models,Pectinia lactuca,Pectinia,Merulinidae,Scleractinia,Hexacorallia,7.29953,0.1124166,NA,NA,broadcasting,Central Indo-Pacific,1.16,1.2236,103.7408,103.8606,encrusting,domed
A_1190,A_1190_02,Vertical distribution and settlement competencies in broadcast spawning coral larvae: Implications for dispersal models,Platygyra sinensis,Platygyra,Merulinidae,Scleractinia,Hexacorallia,6.000474,0.0953957,NA,NA,broadcasting,Central Indo-Pacific,1.16,1.2236,103.7408,103.8606,massive,domed
A_2134,A_2134_01,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,7.1,0.4582576,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,corymbose,branching
A_2134,A_2134_02,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora digitifera,Acropora,Acroporidae,Scleractinia,Hexacorallia,30.92857,10.18859,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,digitate,branching
